Series_Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
92,femi-tech-bro,femi tech bro,"broke tech bro actually, no money",,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,dc8f005ce59c0ee23bf0da1e8801c7deadcd8a468b51b348f9019c62a8e09048
93,sai-baba,sai baba,bts leader of 3rd world,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,fdfff369-5b57-4612-9f89-f5d408f24a35,6a98db8501706697dc1fbf4df69af070d8783cff6ec182e38864607bc60919e5
94,omo-pastor,omo pastor,a woman with the morals of a man,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,49e09559-61a6-41ff-811a-272721a7475c,bb70d0824e2d660402d8f9c21dbb200258a1c1c08f34d7c852700bdce0e71d12
95,obi-container,obi container,a rich man from the east,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,4b64cf48-94fa-4aed-8cf2-452974b48ee3,09f9dd4b92433fd335cf9e798d6df1a24ba88f472377c64c58eaa8df946e87b3
96,erigga-international,erigga international,Super star from south-south,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,1bf7d5c34aecb08f37ec64d07cf81715b7bc39b43e9987024230c7a28e0f82a4
97,ayo-web3-bro,ayo web3 bro,no actual knowledge of basic computer principles,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,70e5aa8416355017aa724bf1e57249ef914eabf3132f17fb473edb89ba76812a
98,phoebe-queen-bee,phoebe queen bee,"a self-centered woman, only thinks about herself",,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,a11a2595d828ac4bee95853ff69d528770dcdaf7bc66a6f026afe8c055eb081c
99,rachel-warri-babe,rachel warri babe,a woman who doesn't take nonsense,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,3f9b7145637dc717219c6c820562de79bd4ef022ae95b5fa828429502f338531
100,adun-preacher,adun preacher,a woman who preaches in buses,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,cc4dfedf-c343-48db-ad67-e39452ec2380,ee78f6103026f9f49f1189685cb63ec3e8e903924fe527d8e1e655124650d4f7
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,"hair: brown, strength: bold, weakness: big teeths,",fbf43611-f267-4cba-bf4b-a3ffdc122589,b4084a3bcebd82d35671e12864a9d6b1d42ba0d51327278ae88c7f0d0689f754
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: jealousy",e7c32b06-7022-49b4-bbe5-81e8c1d58583,2c544a8b6d9418edab9dca623fc132f298b311c3f7087aa24d0dedafc49673df
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,"hair: bald, strength: strong man, weakness: women",e57d8985-599e-49da-8d62-fc16b7ac93f2,f3e90350568d26e311c879e3a71b2a2fb5ac55f533184a8dfbba738a414ab86c
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,"hair: brown packed hair, strength: outspoken, weakness: over makeup",31d3e229-003e-43c8-ba82-38f49cf58ccb,ec7fd88c06bd010dc2fc3bb801811c2b304fa4a92bc53b3bc3c965ddf8bc9add
105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,female,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to cook",281f5bd7-5282-458b-9811-e369980e7dee,52277752a19bc479e266d83f2c96a7c3b14a9d9516eef0efeeab04dce264f8d7
106,nonso-the-igbogirl,nonso the igbogirl,Nonso is an Igbo girl that loves money,female,"hair: deep brown packed up, strength: a core traditional igbo girl, weakness: materialistic",5cfa76df-8376-4505-af12-78af24f108d6,57b6f91c12287d4c35496616028baeb87b798f9cce594c1f9ed02aaa720f9cae
107,shade-olori,shade olori,Shade loves soft life and makeup,female,"hair: deep brown hair, strength: beautiful dark skinned, weakness: does not know how to cook",1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,b974efa38b8c2b123504e8990d13332b7a2e3d3026c104aa37a091575adb90a3
108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,male,"hair: bald, strength: devoted muslim teacher, weakness: lack of good grammer",d96a93e7-17a4-4efe-b09b-02185cc81ce8,973fc0733bfabba123077c6bb78487c1c2770e3f33a579f435d28e955beaae50
109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,male,"hair: red cap man, strength: has taste for good music. weakness: dosent play english songs",030f665d-2cd7-4376-aef5-4030dad9f2d6,4b75df934dd3eb11c9312e5fd3f2016cf25a85d9609dcd8b6b5dfff569c46d85
110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,male,"hair: bald, strength: good command of English, weakness: loves women alot",e270e278-a9b5-408d-b527-d518239a997b,c536b9eb17b58aa9a09d9b0bcafa46651c475b94e96724d626493b0697eb2943
111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,female,"hair: dred purple, strength: good actress, weakness: rarely appreciates",34b1136d-00b1-4f29-8a03-5b02291d47d5,76a3c294a5f27cc89fcd2874a4baeb3b28047fbd6f606c5b768c4a9735df10fd
112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,male,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to greet",592eff9f-93b2-4452-a2ed-5d44ebc969db,363124cf3781b2e2bb59b23b05984d1c8c1753b5e9e745f63f3030f97ac9ed47
113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,female,"hair: brown bob marley, strength: very beautiful, weakness: insultive",d9477612-ad63-408e-8d12-24679c647b32,bb07e23b57b2c8d93d1406943148d2039892d56efdca77de64250e4713492ad5
114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,male,"hair: yoruba cap, strength: traditional man, waekness: dosent speak english well",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,abeaf86a8967bfc316a07e3afaa53da757a5ff00cd842a8962b88775fd161961
115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,male,"hair: brown punk, strength: strong physically, weakness: drugs and gambing",152758f3-9414-45a2-a809-95cb05a3de13,b808108b9ad92d8e82be210b2a43a687dabd8e1ae54710791b85e605206598cf
116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,"hair: brown curly wig, strength: cheerful giver, weakness: abusive lady",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,16336544feb521d2b455ebcfd4bc24f611061898f06840f4c823956e0f587b75
117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: cant cook",3116cb6f-14c4-4d5a-af57-54253b72a309,f972fad390ce3c27646dbaf6dc40d0699c6f93e50f3c46fd43b003e50468754b
118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,female,"hair: brown curly wig, strength: understanding and petite, weakness: lack of personal communication",a14df1c1-7a5a-4a33-8780-0fb01c593da6,b86605c2fbfc8fa8dbe3a073a6172e6475f9a6bac3d92aa91515e5cf548e4766
119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,male,"hair: bald, strength: swag and life of te party, weakness: dosent have a job",fe17bfdc-c251-4654-8313-1ab793e11748,8cb2cbfda485cb5bbd7a9a17c26f88795f535f9fd3a21f76bbe96373d54847f9
120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,male,"hair: bald, strength: swaggy and loves fashion, weakness: lack of cordination",df295be1-1509-406e-a263-28a5dee0abca,59f34efcbef3659e672bb38038dab0f9abf406fd37099c5b2330e627d59277ed
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",7ebde325-8efc-4997-811a-b5686269929e,925aa6c38ab8f8d076e4d399eabc244a7337befb828bcd83d89fa589d09a7d1d
122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,"hair:none ,eyes: black,teeth:small open teeth, clothings: sleeveless yellow ankara, accessories:none, expression: serious face, strength:mild  ",c136a120-a339-4080-96ca-1c93845c5848,e74d477275ee36cbf1d18befbf1b50eec7d41e69638a4564be400df6a94801b4
123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,"hair:none ,eyes: blue,teeth:open white teeth, clothings: black isiagu, accessories:cap, expression:happy, strength:Strong  ",5b0c0d26-d204-4264-b579-081ff9df935b,64a1dfa7a91322b2852cb3424a1fdc8e79ab3dbe31b27afe4c125b018400e8b6
124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking pipe,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,ef1a5a2ae1c55eb782b2108f6fd4f6c00e89f00f3fb99649c03365496eec6553
125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,Agbada attire,241e3713-4ce3-48d0-827f-b282ae2db6c4,d5031e319748d71892b5392bdfa90a2979e74148e1b7c579b86aa6806001007c
126,johnathan-genz-kid,johnathan genz kid,"A child of the moment , all fun and cruise ",Male,Hair; high ponk,90c0ae09-a35f-42ad-b93c-dcf30169acd9,e65dc6bdbc424b8fa4372b8c8e321584f403a32062c8f054dde17c9fd991e15a
127,eddy-the-community,eddy the community,Man of the people ,Male,Two teeth and kaftan attire ,5cabf9d9-882b-459e-9253-8c07eb045e2d,5c9a728dc6e1c97d29632eff0de82a558fcb120e50abeb49118eb502add5e3d0
128,olu-the-oba,olu the oba,The oba of Ofuk kingdom ,Male,Pleading face,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,8a533f642bef86342ec873c55b9e5c429e610fb45c8027f6aabaeaa85b1afc28
129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,Blue eyes,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,796a73524ec71e75bcb101a30f3370b00ba5b5445a9cc9323962bfc612fa9038
130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,Blue eyes,22541251-022f-480c-8c1e-cf754dce16d6,ff2527ac870a3115226150eb2409f6f3de591e0137f51212cfc1924569e9d7a9
131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,Bandana head scarf,66a054cd-5541-4000-98aa-8f2e9892d880,d52042770505125d1346296247c54155a288778dc1832074f5e53f194e66ff10
132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,Gold teeth,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,85c110b7ea4e7d8e2085165c9437c9d12f080fdc7fe2e48bca999e26e6d2a688
133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,Beard,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,fa50042663e55b3fa16e9c74f443642caf1d1c6e205dccea62bbe3f5bd11f1c5
134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,Beard,c0857b11-bf0e-46a4-9108-b8eb93d83e74,8229c94fa75b1d853dde38443118b34cfc0703f9b595c3d71ded938f5a4f7689
135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,Gold teeth,201a408c-7a2e-42d9-a62c-0136c885c211,167bd227d2d35fb6846768b1db14b08a216a45bb20c4cde1976e09fee3d55725
136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,Brown hair colour ,b6a41ff1-51ce-42f7-9933-85d0a22ced68,6914e754d3ed1086d29a5686443f49b47484e6942ffe28dbd8b8a29ef35edbcd
137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,Purple hair colour ,04036447-f43e-4bfb-9503-f55c9064b14e,7d1650aa70c6880fbf9475e71765ed7dcff2ca98e33fafcd0b1a994fa28e16fd
138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,Long hair ,5d12847b-6d71-4691-8337-2e6ef3e283b2,8afca547e045cccea459d804f7878c9e03698273dc938bb021fddfbbe8143b73
139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,Brown hair,98035e8b-6540-4464-8a3c-fdac9f07b168,1e7b331fb493479e08bbbb44ea205d3299f0c86345d23080006db28ce0eb750d
140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,Black hair ,15309dc5-e483-4658-b503-db85ba2c1722,8e4d8aa6dad5a1737ad0489c614ed59108a014e6bb409af6854e9ea7671e3ec0
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
141,viganem-the-drummer-girl,viganem the drummer girl,she loves jumping a fence to play drums after school,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,2776a253347548fa7e917b464e53aacc59e249183c1f9791e1d54d0f51057cb1
142,lenusuka-the- big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,e564a43a-ef77-487d-a88e-749d20a09fd8,8da4f4d18e21e6f74e6d8eb9a51de0e3e89d320cc2c4cebdb696b0b0d6bd3fc8
143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,6dc7e452-0626-4f4c-a28c-f5db3532e305,8841f4ec6e1c5ecf860e30234068f2bfa1920ad897fbf726cd32d7014a2ea405
144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,221263d0-8775-49f8-bbf8-4b08b49e1482,184337f8bcd40d3d58abfb221db8be711c9b1c0cb497c3c0693720b85ede77a8
145,akinyim-the-agbaya,akinyim the agbaya,Always playing with small childrens and mostly small girls,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,c1070dce-48a1-4ae8-b9a4-d070859a8377,6ad416d3d8fbdfdf06bffd39e8a3b229eb9c02fdbc897cf85e2b2ae971298661
146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,c22489fe-574b-47f3-9667-c9c798b2d4df,d2b04b5fb8ffb424f6f75640fd120c1ab1c0ff76afade94c8b31f9ce64308435
147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,1a91e778-d214-476b-a667-94e9ecb8b5ce,69ce801cba67b92b51d3294ea1efeff8e93748327b4627e900388751278ff380
148,naserian-mr-fear-fear,naserian mr fear fear,Has never slept with anyone and can not kill cockroach,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,8177cf38-8284-4eb4-b19c-04473bcb3b5e,841535b0964e14cc14a8a52bb2b372c973dfaaecf13a17a390fb15a24c5976dd
149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,0554bf35-f588-4009-aafc-ef875b878c29,fbcfbaba27b0c0e01e13de6cd902e51f2eb5ebc890c66ecc0f2a73a598376042
150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,33ba8e73-7949-4bc7-ba27-37ee1d573946,c8e9e47fdb39abb34e0573e64bf46fdbfb80f377323b69a05e05fc9c1154ac68
151,rehema-the- olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,1fb33783-4898-48cf-8a73-f81afc71e1a8,69f56cd97b85eb8941ca0e22e9c2a02a2ff66bfc64fbd6b9abdad452cdcc4077
152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,7ba909bd-19a1-454d-a86c-a45e85cb94a6,79c02192f94026f2321a0d477489ac0d6c7e355c86d9fa515a80ca891a5b8374
153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,f56815683561a96f35c908abbaa05f4eaa90285ab8eb707b1df31c39dfcbb3c3
154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,36cd959f-d280-41f6-af76-765715c72527,36cab6f89de1c3e42459b050421e9423fcfbcb6470db606cb0b36c25685d6172
155,ajobaru-a-serial-killer,ajobaru a serial killer,High end assasin who cannot survive a day without sex,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,9d262f55-73d7-4b95-9a82-42356dbb085c,523ce84fc342cf75b418f801d5619ce1be3602d6b43288f996e56ab756263205
156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,ad90cca17b69215a2d7acd424909d0631cd537ee2e09da01005ab7bceb3a87aa
157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,88106b92-da30-46ad-a3cc-d528683b9e33,b71fe645be5449738ce7567bfbb78bec00f35f7ab23de621e1cf0c1537b18955
158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,66a09968-cb92-4378-a588-49947f68c537,c6271e1b49a0ef48bab46d61877ce5ca8dbcab222967a73a56ef03ec0984b949
159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,f0e618aa7ff32dec8f8d0e088d7dde65d285e5924ac9f8fba3af9c0a4ff3c0e9
160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings,,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,b07676a6-c611-410d-8426-46c9c525189a,6a5fdf160382367dad33345fa7ff1406863f26d2867a6fbee76a43f86e64c1c2
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
161,funmi-the-fashionist,funmi the fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe,Female,"hair: black hair, eyes: none, skin color:light brown, teeth: none, clothing: aso oke, expression: cool, accessories: head tye and eye glasses, strength: fashion, weakness:men",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,badb1552855d441f26ab528bb944d11d8c0c2018781920aebb1a8b5fbe1ea3ed
162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows,Female,"hair: Purple shuku, eyes: none, skin color: light brown, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,0af44ff0ea59ea48a749c413226a97d4042b24d44db5163e01ad02c32d1a660d
163,bimpe-the-runzgirl,bimpe the runzgirl,"be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, skin color: light brown, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,6fa56986f26ff26e8e4268c6fd2b73078bc3932f8054f593cab972e8365bf32d
164,sola-the-queen,sola the queen,sola is a princess. she's got the mind of a queen,Female,"hair: brown long hair, eyes: none, skin color: light brown, teeth: none, clothing: blouse top, expression: cool, accessories: eye glasses, strength: Strong character, weakness: beauty",d5f23ad3-832a-4d3e-814e-e23f466d18a4,399744654867c6d6bfdeee4534fbe2da1c4fd05e90bb3222a60b7c3472cd04e6
165,temi-afro-girl,temi afro girl,"temi is know for her funny haircut. this time, afro is up",Female,"hair: orange full hair, eyes: none, skin color: chocolate teeth: none, clothing: ankara, expression: cool, accessories: eye glasses, strength: loving, weakness: sheepish",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,9eafc3fc61e795278388a3590be7a88970429502342332b8f990ab5b12beeaa5
166,jonny-the-bravo,jonny the bravo,jonny is our local police. he breaks boys free,Male,"hair: orange pink, eyes: closed, skin color: butter color, teeth: candy in mind, clothing: igbo attire, expression: relaxed, accessories: candy in mouth, strength: helping people, weakness: hastly rash",2b345988-b4b0-453b-ad39-efe1321bc8f1,fe67b1a4c4f17d2f526595a9f0bb2dba9b141a5167bafd6ce41fb206809df881
167,tunde-the-bigman,tunde the bigman,tunde is the big man on the street. flamboyant life style is his identity,Male,"hair: none, eyes: closed, skin color: butter color, teeth: white with one tooth missing, clothing: agbada, expression: resting, accessories: head wear, strength: money, weakness: monkey",56db423e-8b09-453e-b5fc-61f4da9d7a6f,9c8c83e018da9276f625894b66fc2693b1158d2c16fcdd1cee87ee678af964d3
168,joe-the-plain,joe the plain,plain and simple. no one in town is more gentle that broda joe,Male,"hair: none, eyes: watery blue eye, skin color:butter color, teeth: tongue out, clothing: agbada, expression: happy, accessories: face cap, strength: handling situation, weakness: overthinking",7a3083bd-5aa2-48b5-a30b-4445cc060f57,3e4399cd2a572983b5d8bc8bf378bb88244ddf56893408fe9cccfce7cbcd6bba
169,wale-sharp-guy,wale sharp guy,wale no de carry last. the thinks and act fast,Male,"hair: none, eyes: closed, skin color:butter color, teeth: white with a tooth missing, clothing: agbada, expression: fearful, accessories: blue head scaf, strength: smart, weakness: too forward",44906ea0-901b-4b3d-802f-f73acc8758f6,00ebf756c3e7d081b3d78ef237968592b40d7c6fdc787df18b127916dd97471f
170,dele-the-snoozer,dele the snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",Male,"hair: low cut, eyes: closed, skin color: butter colro, teeth: gapped teeth, clothing: agbada, expression: snoozing, accessories: none, strength: loving, weakness: sleep",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,50661975e11e1eb005041dd20215170a4bb3321c31a20fdfc6404fcc0242196f
171,father -of -tolu,father of tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,Male,"hair: none, eyes: black iris, skin color:dark brown, teeth: long front tooth, clothing: ankara, expression: fearfully, accessories: head cap, strength: fatherly, weakness: women",a2651258-ca3f-4940-b095-3a61ff630263,4da2ba875c59d17a143a3eb98faf8c462428d641ac542e560e2173797cb9d172
172,emeka-the-chief,emeka the chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,Male,"hair: none, eyes: black iris, skin color: dark brown, teeth: full white teeth, clothing: wrapper wrapped around body, expression: smiling, accessories: head cap, strength: leadership, weakness: anger",de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,1571ccf793b41127ac437e1ec818622118e1b418e68d5244017305b4fc23058a
173,lawal-the-drooler,lawal the drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",Male,"hair: none, eyes: teary grey iris, skin color: brown, teeth: gapped teeth, clothing: agbada, expression: sleepy, accessories: head wear, strength: rich, weakness: alcoholism",806b640f-1c8b-4cc0-aa10-45f3ddc00140,d19a4901d7da65b3c2ac03e80af0fcfe8cab31c8651cc09279713eea6b60a509
174,solo-the-messenger,solo the messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",Male,"hair: none, eyes: black eye, skin color: brown skin, teeth: stained tooth, clothing: simple top, expression: relax, accessories: cap, strength: multitasking, weakness: women",44906ea0-901b-4b3d-802f-f73acc8758f6,bdc1ff516bae9e27e25fa4e9b840602a70027ad03c12e8d87af583b2f94ef7d2
175,femi-the-honorable,femi the honorable,honorable femi is the modern day politician. everything he does is only to further his political career,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: one missing tooth, clothing: aso oke, expression: happy, accessories: abetiaja cap, strength: public speaking, weakness: money",af53bf52-b517-4347-adc6-07cf30c19025,547778d7a514a40945e22b0967af60d82784d060ed804053af9873ec511fa471
176,friday-the-bigsboy,friday the bigsboy,friday always live up to his name. every friday is for the party.,Male,"hair: orange afro, eyes: black iris, skin color: brown, teeth: none, clothing: aso oke, expression: unconcerned, accessories: cigrette in mouth, strength: money in pocket, weakness: sense of responsibility",05ec3aae-7da8-4125-93fb-6fc544e5bc61,2d0f4652edf8afd22a54334380311498a46b91155b4fe0264c6fde38a50c77e3
177,kweku-the-planter,kweku the planter,kweku says he did it. kweku dey plant Igbo until he was bursted,Male,"hair: none, eyes: closed, skin color: brown, teeth: none, clothing: aso oke, expression: smiling, accessories: head wear, strength: industrious, weakness: criminally minded",af53bf52-b517-4347-adc6-07cf30c19025,9ff223b403c599e6bfdef6686e816130abdd4d0c2e1ca395f3259f5a21660835
178,2pac-the-remix,2pac the remix,2pac is alive in him. his style is exactly the same. upcoming artist,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: gapped teeth, clothing: Igbo clothing, expression: surprised, accessories: face cap, strength: hardworking, weakness:fear",9993e5ec-2f31-485c-9c6d-f780c078ae56,b3dd4042d4c5ab16f2417a324cdcc2cec75e49d73076acca801d7bffb9630770
179,tope-the-influencer,tope the influencer,tope is a famous influencer. loved by his followers which keep growing everyday,Female,"hair: none, eyes: black iris, skin color:brown, teeth: none, clothing: agbada, expression: tired, accessories: tied head scaf, strength: Influencing people, weakness: talk too much",3b3e1f66-922b-4f87-8cdb-0d09fc143182,5c4a33f0fee7ee6602498f58f31b0cfbf2fcb3595001b4867fc512eabeac3320
180,gabby-the-evangelist,gabby the evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",Male,"hair: pink hair, eyes: black iris, skin color:brown, teeth: none, clothing: agbada, expression: happily surprised, accessories: none, strength: make people happy, weakness:misleading",ac721b71-cbc5-425c-851f-ee826973f0b9,9b139b5bdad45fe4aa5e7d2e97a48c690659b128121ce3ec7706d97f3bd7b098
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
